,pattern,mean,std
870,2.0.0rc15,0.26,0.4386342439892261
869,0.2.2.2020.12.23,0.26,0.43863424398922596
322,0.6.1rc5,0.26,0.4386342439892261
946,0.2.2rc2,0.26,0.4386342439892261
83,3.1.2.post2,0.26,0.43863424398922596
648,0.12.13rc0,0.26,0.4386342439892261
251,0.2.5.2021.5.3,0.26,0.43863424398922596
509,1.25.0rc0,0.26,0.4386342439892261
966,1.3.3rc1,0.26,0.4386342439892261
529,0.1.54.post12,0.26,0.43863424398922596
312,11.0.0rc3,0.26,0.4386342439892261
662,0.0.37rc1,0.26,0.4386342439892261
505,0.13.0rc0,0.26,0.4386342439892261
503,0.2.2.2021.1.4,0.26,0.43863424398922596
668,2.0.0rc34,0.26,0.4386342439892261
844,3.1.1.post1,0.26,0.43863424398922596
843,1.0.0rc15,0.26,0.4386342439892261
14,3.0.1.post3,0.26,0.43863424398922596
855,2.0.0rc58,0.26,0.4386342439892261
826,0.1.56.post57,0.26,0.43863424398922596
938,1.0.3rc1,0.26,0.4386342439892261
423,0.1.19rc0,0.26,0.4386342439892261
140,0.2.5.2021.6.1,0.26,0.43863424398922596
974,8.4.0.post0,0.26,0.43863424398922596
427,1.3.2.post2,0.26,0.43863424398922596
386,1.18.0rc0,0.26,0.4386342439892261
765,0.8.1rc0,0.26,0.4386342439892261
748,0.27.1.post1,0.26,0.43863424398922596
581,0.1.3.post1,0.26,0.43863424398922596
911,0.2.5.2021.3.15,0.26,0.43863424398922596
449,0.0.7.post28,0.26,0.43863424398922596
804,0.17.0rc1,0.26,0.4386342439892261
769,0.34.0rc4,0.26,0.4386342439892261
123,1.1.6.post2,0.26,0.43863424398922596
294,1.0.2021.4.25.1619359700,0.26,0.43863424398922596
137,2.2.14rc2,0.26,0.4386342439892261
574,2023.4.26.15.9.28,0.26,0.43863424398922596
975,0.1.1rc7,0.26,0.4386342439892261
265,0.0.0rc7,0.26,0.4386342439892261
183,0.1.2.post56,0.26,0.43863424398922596
152,0.9.5rc1,0.26,0.4386342439892261
914,2.4.0rc2,0.26,0.4386342439892261
150,2.0.9.post1,0.26,0.43863424398922596
148,0.9.6rc1,0.26,0.4386342439892261
142,0.2.5.2021.4.10,0.26,0.43863424398922596
934,0.2.6.post3,0.26,0.43863424398922596
452,16.0.1.0.4.35,0.26,0.43863424398922596
307,3.12.1.0b0,0.31,0.46249324319388696
527,3.3.2.2.dev1611327400,0.36,0.48
54,3.3.2.1.dev1603669168,0.36,0.48
149,4.5.5.2.dev1661561474,0.36,0.48
327,3.3.2.1.dev1603668607,0.36,0.48
721,4.7.1.9.dev1687799215,0.36,0.48
718,4.6.4.3.dev1669997494,0.36,0.48
23,3.5.2.3.dev1633349975,0.36,0.48
111,3.3.2.2.dev1610392687,0.36,0.48
805,3.3.2.2.dev1611065472,0.36,0.48
302,3.5.2.3.dev1633349953,0.36,0.48
340,3.5.2.3.dev1628689602,0.36,0.48
117,2022.3.22.1647943812.2021556413,0.37,0.48280430818293263
645,2022.4.5.1649199424.2099175379,0.37,0.48280430818293263
249,2022.3.29.1648574864.2059828524,0.37,0.48280430818293263
888,2022.3.21.1647871451.2016475340,0.37,0.48280430818293263
717,2022.5.18.1652917386.2348696498,0.37,0.48280430818293263
116,2022.6.24.1656081252.2556214208,0.37,0.48280430818293263
584,2022.4.13.1649871158.2162713318,0.37,0.48280430818293263
28,2022.8.9.1660078506.2826659007,0.37,0.48280430818293263
51,1.1.116b10,0.37,0.48280430818293263
481,2022.5.11.1652288736.2308502936,0.37,0.48280430818293263
79,2017.12.1b3,0.38,0.4853864439804638
422,0.1.0.181116.3,0.38,0.4853864439804639
867,2017.12.1b0,0.38,0.4853864439804638
267,0.1.3.3.1,0.39,0.48774993593028815
908,0.1.0b1225620,0.39,0.48774993593028815
595,12.0.1.5.3,0.39,0.48774993593028815
778,12.0.1.3.3,0.39,0.48774993593028815
283,0.0.2.6.1,0.39,0.48774993593028815
635,2.4.0b20230608,0.39,0.48774993593028815
430,12.0.1.2.3,0.39,0.48774993593028815
740,2.4.0b20230617,0.39,0.48774993593028815
178,2.4.0b20230524,0.39,0.48774993593028815
982,0.1.1b20230325,0.39,0.48774993593028815
395,2.4.0b20230615,0.39,0.48774993593028815
184,2.3.0b20230323,0.39,0.48774993593028815
825,2.1.0b20220430,0.39,0.48774993593028815
195,12.0.5.1.3,0.39,0.48774993593028815
199,2.3.0b20230416,0.39,0.48774993593028815
444,13.0.1.2.0,0.39,0.48774993593028815
366,13.0.1.1.0,0.39,0.48774993593028815
154,2.1.0b20220906,0.39,0.48774993593028815
700,2.1.0b20220228,0.39,0.48774993593028815
491,10.0.1.1.7,0.39,0.48774993593028815
217,0.0.1.9.4,0.39,0.48774993593028815
335,0.14.0b20220125,0.39,0.48774993593028815
329,2.1.0b20220509,0.39,0.48774993593028815
34,0.2.1.8.04,0.39,0.48774993593028815
868,13.0.1.0.1,0.39,0.48774993593028815
708,0.14.0b20220216,0.39,0.48774993593028815
435,0.14.0b20220223,0.39,0.48774993593028815
419,1.0.1b2,0.4,0.4898979485566356
410,0.19.1a1660828085,0.4,0.4898979485566356
392,1.0.1a1567021648,0.4,0.4898979485566356
927,6.32.0a1658137832,0.4,0.4898979485566356
371,0.11.1a1643299761,0.4,0.4898979485566356
978,2.12.1b2,0.4,0.4898979485566356
551,0.0.1b9,0.4,0.4898979485566356
457,3.5.0a1638257670,0.4,0.4898979485566356
520,0.4.3b11,0.4,0.48989794855663554
477,2.2.7b8,0.4,0.4898979485566356
497,2.6.0a1611855191,0.4,0.4898979485566356
952,0.18.1a1653714139,0.4,0.4898979485566356
46,0.1.7b1,0.4,0.4898979485566356
970,0.19.0b4,0.4,0.4898979485566356
63,3.0.0b23,0.4,0.48989794855663554
852,20.10.2b0,0.4,0.4898979485566356
882,6.31.0a1657285227,0.4,0.4898979485566356
696,2.4.0a1580387686,0.4,0.4898979485566356
902,0.21.3b0,0.4,0.4898979485566356
119,6.19.0a1649785192,0.4,0.4898979485566356
591,0.9.1a1640274882,0.4,0.4898979485566356
810,0.1.1a1633640614,0.4,0.4898979485566356
98,22.9.0b4,0.4,0.4898979485566356
682,0.4.6b2,0.4,0.4898979485566356
851,0.0.1a1592974301,0.4,0.4898979485566356
771,6.55.0a1681317026,0.4,0.4898979485566356
214,6.46.0a1673304792,0.4,0.4898979485566356
719,1.3.8b2,0.4,0.4898979485566356
495,0.8.12a1,0.41,0.4918333050943174
240,0.27.1a1254,0.41,0.4918333050943174
945,0.20.1a587,0.41,0.4918333050943174
621,0.17.0a170,0.41,0.4918333050943174
317,0.22.0a16,0.41,0.4918333050943174
681,0.1.16a6,0.41,0.4918333050943174
22,0.8.28a3,0.41,0.4918333050943174
354,0.25.0a1062,0.41,0.4918333050943174
331,0.28.2a1434,0.41,0.4918333050943174
699,0.9.92a3,0.41,0.4918333050943174
344,0.28.1a1297,0.41,0.4918333050943174
802,0.26.0a1170,0.41,0.4918333050943174
562,0.20.1a413,0.41,0.4918333050943174
260,0.0.30a1,0.41,0.4918333050943174
374,0.28.2a1358,0.41,0.4918333050943174
390,0.12.0a47,0.41,0.4918333050943174
9,0.28.1a1293,0.41,0.4918333050943174
578,0.20.1a423,0.41,0.4918333050943174
610,0.0.12a8,0.41,0.4918333050943174
749,0.0.34a1,0.41,0.4918333050943174
787,1.3.8a2,0.42,0.4935585071701228
221,27.0.0a1,0.42,0.4935585071701228
498,0.5.0a5,0.42,0.4935585071701228
766,0.31.0a3,0.42,0.4935585071701228
58,1.3.2a2,0.42,0.4935585071701228
980,0.1.0a21,0.42,0.4935585071701228
961,0.0.7a14,0.42,0.4935585071701228
494,0.2.0a15,0.42,0.4935585071701228
353,0.4.1a3,0.42,0.4935585071701228
812,1.0.6a2,0.42,0.4935585071701228
458,3.0.0a8,0.42,0.4935585071701228
109,1.2.0a6,0.42,0.4935585071701228
468,0.0.3a13,0.42,0.4935585071701228
467,0.3.1a4,0.42,0.4935585071701228
106,2.1.1a1,0.42,0.4935585071701228
979,0.7.0a6,0.42,0.4935585071701228
713,1.0.7a3,0.42,0.4935585071701228
711,3.0.0a1,0.42,0.4935585071701228
542,1.1.1a0,0.42,0.4935585071701228
884,14.0.0a5,0.42,0.4935585071701228
26,40.0.0a3,0.42,0.4935585071701228
308,0.0.4a5,0.42,0.4935585071701228
